"Date","Temp"
2013-07-09,10.57
2013-07-10,10.69
2013-07-11,11.39
2013-07-12,10.95
2013-07-13,11.62
2013-07-14,10.4
2013-07-15,10.65
2013-07-16,9.48
2013-07-17,12.28
2013-07-18,12.74
2013-07-19,11.65
2013-07-20,11.11
2013-07-21,11.09
2013-07-22,11.02
2013-07-23,9.99
2013-07-24,9.92
2013-07-25,10.35
2013-07-26,10.85
2013-07-27,10.99
2013-07-28,10.19
2013-07-29,10.18
2013-07-30,10.64
2013-07-31,11.03
2013-08-01,12.63
2013-08-02,13.1
2013-08-03,12.44
2013-08-04,10.52
2013-08-05,10.15
2013-08-06,10.04
2013-08-07,9.72
2013-08-08,11.91
2013-08-09,10.39
2013-08-10,10.22
2013-08-11,11.77
2013-08-12,12.61
2013-08-13,13.22
2013-08-14,12.54
2013-08-15,13.78
2013-08-16,15.19
2013-08-17,14.97
2013-08-18,13.9
2013-08-19,12.83
2013-08-20,11.72
2013-08-21,10.8
2013-08-22,10.65
2013-08-23,12.34
2013-08-24,12.24
2013-08-25,11.39
2013-08-26,13.27
2013-08-27,14.2
2013-08-28,14.47
2013-08-29,14.29
2013-08-30,14.25
2013-08-31,13.5
2013-09-01,14.72
2013-09-02,16.19
2013-09-03,16.24
2013-09-04,17.19
2013-09-05,15.96
2013-09-06,16.44
2013-09-07,16.24
2013-09-08,15.44
2013-09-09,14.2
2013-09-10,12.91
2013-09-11,13.04
2013-09-12,13.55
2013-09-13,13.48
2013-09-14,12.83
2013-09-15,12.97
2013-09-16,15.04
2013-09-17,15.22
2013-09-18,14.3
2013-09-19,13.76
2013-09-20,14.13
2013-09-21,14.19
2013-09-22,14.55
2013-09-23,14.87
2013-09-24,14.71
2013-09-25,14.56
2013-09-26,14.28
2013-09-27,13.72
2013-09-28,14.81
2013-09-29,15.09
2013-09-30,15.08
2013-10-01,14.99
2013-10-02,14.43
2013-10-03,14.18
2013-10-04,13.42
2013-10-05,13.91
2013-10-06,14.09
2013-10-07,14.27
2013-10-08,13.53
2013-10-09,13.02
2013-10-10,12.94
2013-10-11,12.73
2013-10-12,12.87
2013-10-13,12.92
2013-10-14,12.48
2013-10-15,11.84
2013-10-16,11.12
2013-10-17,10.67
2013-10-18,10.86
2013-10-19,10.34
2013-10-20,10.21
2013-10-21,9.6
2013-10-22,10.14
2013-10-23,10.13
2013-10-24,10.27
2013-10-25,10.25
2013-10-26,10.47
2013-10-27,9.8
2013-10-28,9.27
2013-10-29,9.08
2013-10-30,9.16
2013-10-31,10.22
2013-11-01,10.42
2013-11-02,10.27
2013-11-03,9.47
2013-11-04,9.9
2013-11-05,10.38
2013-11-06,10.57
2013-11-07,10.13
2013-11-08,10.06
2013-11-09,10.1
2013-11-10,10.57
2013-11-11,11.24
2013-11-12,11.95
2013-11-13,11.4
2013-11-14,10.7
2013-11-15,10.26
2013-11-16,10.78
2013-11-17,10.89
2013-11-18,11.16
2013-11-19,10.41
2013-11-20,8.59
2013-11-21,8
2013-11-22,8.19
2013-11-23,8.64
2013-11-24,8.8
2013-11-25,9.56
2013-11-26,9.92
2013-11-27,10.31
2013-11-28,10.44
2013-11-29,9.98
2013-11-30,10.35
2013-12-01,10.73
2013-12-02,9.41
2013-12-03,7.99
2013-12-04,5.96
2013-12-05,4.85
2013-12-06,5.16
2013-12-07,4.58
2013-12-08,3.73
2013-12-09,5.87
2013-12-10,7.57
2013-12-11,7.14
2013-12-12,7.28
2013-12-13,9.11
2013-12-14,8.75
2013-12-15,9.04
2013-12-16,8.87
2013-12-17,8.38
2013-12-18,8.19
2013-12-19,7.05
2013-12-20,8.19
2013-12-21,8.74
2013-12-22,8.97
2013-12-23,8.55
2013-12-24,7.94
2013-12-25,8.08
2013-12-26,8.79
2013-12-27,8.85
2013-12-28,8.69
2013-12-29,8.39
2013-12-30,8.69
2013-12-31,8.46
2014-01-01,8.46
2014-01-02,8.42
2014-01-03,7.52
2014-01-04,6.96
2014-01-05,7.41
2014-01-06,7.93
2014-01-07,8.59
2014-01-08,8.95
2014-01-09,8.74
2014-01-10,8.93
2014-01-11,9.12
2014-01-12,9.22
2014-01-13,9.21
2014-01-14,8.98
2014-01-15,8.74
2014-01-16,8.75
2014-01-17,8.54
2014-01-18,8.4
2014-01-19,8.7
2014-01-20,8.83
2014-01-21,8.91
2014-01-22,9.04
2014-01-23,9.11
2014-01-24,9.19
2014-01-25,9.68
2014-01-26,9.72
2014-01-27,9.11
2014-01-28,9.64
2014-01-29,9.51
2014-01-30,9.14
2014-01-31,8.46
2014-02-01,8.08
2014-02-02,8.65
2014-02-03,8.32
2014-02-04,8.2
2014-02-05,5.78
2014-02-06,5.58
2014-02-07,7.68
2014-02-08,8.34
2014-02-09,9.71
2014-02-10,9.48
2014-02-11,9.62
2014-02-12,9.98
2014-02-13,10
2014-02-14,10.15
2014-02-15,10.02
2014-02-16,9.63
2014-02-17,10.07
2014-02-18,9.96
2014-02-19,9.97
2014-02-20,10.15
2014-02-21,10.25
2014-02-22,10.8
2014-02-23,10.14
2014-02-24,11.35
2014-02-25,12.4
2014-02-26,10.75
2014-02-27,11.17
2014-02-28,11.02
2014-03-01,10.61
2014-03-02,10.79
2014-03-03,10.98
2014-03-04,11.19
2014-03-05,11.59
2014-03-06,11.23
2014-03-07,11.95
2014-03-08,11.44
2014-03-09,11.64
2014-03-10,11.87
2014-03-11,11.79
2014-03-12,11.42
2014-03-13,11.31
2014-03-14,11.79
2014-03-15,11.31
2014-03-16,11.33
2014-03-17,10.52
2014-03-18,10.25
2014-03-19,10.9
2014-03-20,10.65
2014-03-21,10.45
2014-03-22,11.13
2014-03-23,11.43
2014-03-24,11.27
2014-03-25,11.11
2014-03-26,11.12
2014-03-27,11.18
2014-03-28,11.12
2014-03-29,11.01
2014-03-30,10.66
2014-03-31,9.98
2014-04-01,10.16
2014-04-02,10.93
2014-04-03,10.96
2014-04-04,11.57
2014-04-05,11.55
2014-04-06,12.15
2014-04-07,12.03
2014-04-08,12.21
2014-04-09,11.97
2014-04-10,11.37
2014-04-11,11.23
2014-04-12,10.65
2014-04-13,10.72
2014-04-14,10.32
2014-04-15,9.81
2014-04-16,10.22
2014-04-17,10.42
2014-04-18,10.71
2014-04-19,10.36
2014-04-20,11.63
2014-04-21,11.91
2014-04-22,11.77
2014-04-23,11.28
2014-04-24,12.14
2014-04-25,11.8
2014-04-26,10.66
2014-04-27,11.1
2014-04-28,11.05
2014-04-29,11.86
2014-04-30,12.76
2014-05-01,13.61
2014-05-02,13.43
2014-05-03,13.1
2014-05-04,13.05
2014-05-05,13.73
2014-05-06,14.01
2014-05-07,13.7
2014-05-08,12.44
2014-05-09,12.7
2014-05-10,13.2
2014-05-11,12.98
2014-05-12,13.7
2014-05-13,13.37
2014-05-14,13.5
2014-05-15,13.79
2014-05-16,14.59
2014-05-17,15.42
2014-05-18,14.66
2014-05-19,15.68
2014-05-20,15.26
2014-05-21,13.8
2014-05-22,12.29
2014-05-23,12.07
2014-05-24,12.11
2014-05-25,11.22
2014-05-26,12.75
2014-05-27,11.96
2014-05-28,12.9
2014-05-29,13.39
2014-05-30,11.65
2014-05-31,10.95
2014-06-01,11.36
2014-06-02,10.75
2014-06-03,10.46
2014-06-04,11.02
2014-06-05,11.07
2014-06-06,10.9
2014-06-07,11.7
2014-06-08,11.91
2014-06-09,11.55
2014-06-10,10.29
2014-06-11,10
2014-06-12,10.15
2014-06-13,10.36
2014-06-14,13.19
2014-06-15,12.25
2014-06-16,12.46
2014-06-17,14.35
2014-06-18,14.94
2014-06-19,14.51
2014-06-20,13.88
2014-06-21,12.03
2014-06-22,11.02
2014-06-23,10.54
2014-06-24,12.58
2014-06-25,12.44
2014-06-26,13.2
2014-06-27,13.82
2014-06-28,13.92
2014-06-29,14.41
2014-06-30,15.18
2014-07-01,15.63
2014-07-02,15.55
2014-07-03,13.8
2014-07-04,12.81
2014-07-05,14
2014-07-06,13.34
2014-07-07,12.27
2014-07-08,11.06
2014-07-09,10.57
2014-07-10,10.64
2014-07-11,10.27
2014-07-12,12.28
2014-07-13,12.26
2014-07-14,12.49
2014-07-15,11.64
2014-07-16,11.16
2014-07-17,12.03
2014-07-18,11.86
2014-07-19,12.36
2014-07-20,10.59
2014-07-21,10.28
2014-07-22,11.92
2014-07-23,13.27
2014-07-24,14.36
2014-07-25,14.76
2014-07-26,14.22
2014-07-27,12.45
2014-07-28,11.28
2014-07-29,11.48
2014-07-30,11.29
2014-07-31,11.85
2014-08-01,11.29
2014-08-02,11.9
2014-08-03,12.64
2014-08-04,10.98
2014-08-05,12.37
2014-08-06,12.74
2014-08-07,11.24
2014-08-08,11.44
2014-08-09,11.46
2014-08-10,10.9
2014-08-11,10.33
2014-08-12,11.98
2014-08-13,13.33
2014-08-14,13.12
2014-08-15,13.84
2014-08-16,13.26
2014-08-17,11.63
2014-08-18,10.62
2014-08-19,11.22
2014-08-20,11.34
2014-08-21,11.89
2014-08-22,13.24
2014-08-23,11.37
2014-08-24,12.23
2014-08-25,10.94
2014-08-26,10.99
2014-08-27,11.4
2014-08-28,11.52
2014-08-29,11.78
2014-08-30,12.51
2014-08-31,12.98
2014-09-01,14.39
2014-09-02,12.82
2014-09-03,12.51
2014-09-04,11.3
2014-09-05,11.56
2014-09-06,11.07
2014-09-07,12.53
2014-09-08,12.99
2014-09-09,12.22
2014-09-10,12.19
2014-09-11,11.16
2014-09-12,10.72
2014-09-13,11.31
2014-09-14,12.15
2014-09-15,12.13
2014-09-16,12.81
2014-09-17,12.14
2014-09-18,13.16
2014-09-19,12.94
2014-09-20,11.92
2014-09-21,12.94
2014-09-22,13.59
2014-09-23,14.6
2014-09-24,13.72
2014-09-25,14.71
2014-09-26,15.65
2014-09-27,15.6
2014-09-28,15.32
2014-09-29,15.42
2014-09-30,15.57
2014-10-01,14.92
2014-10-02,13.72
2014-10-03,13.58
2014-10-04,12.42
2014-10-05,12.05
2014-10-06,11.91
2014-10-07,11.67
2014-10-08,12.09
2014-10-09,12.24
2014-10-10,12.96
2014-10-11,14.01
2014-10-12,13.67
2014-10-13,13.4
2014-10-14,14.57
2014-10-15,14.13
2014-10-16,14.87
2014-10-17,14.55
2014-10-18,14.9
2014-10-19,15.21
2014-10-20,15.35
2014-10-21,15.33
2014-10-22,15.17
2014-10-23,14.82
2014-10-24,14.4
2014-10-25,14.44
2014-10-26,14.03
2014-10-27,13.92
2014-10-28,14.58
2014-10-29,15.13
2014-10-30,15.11
2014-10-31,15.03
2014-11-01,14.75
2014-11-02,13.96
2014-11-03,14.62
2014-11-04,14.57
2014-11-05,15.04
2014-11-06,14.6
2014-11-07,13.74
2014-11-08,13.51
2014-11-09,14.01
2014-11-10,13.26
2014-11-11,12.17
2014-11-12,10.97
2014-11-13,11.78
2014-11-14,12.62
2014-11-15,10.88
2014-11-16,8.76
2014-11-17,9.05
2014-11-18,10.13
2014-11-19,11.62
2014-11-20,12.74
2014-11-21,13.15
2014-11-22,12.7
2014-11-23,13.19
2014-11-24,13.27
2014-11-25,13.56
2014-11-26,13.5
2014-11-27,13.54
2014-11-28,13.36
2014-11-29,12.48
2014-11-30,11.71
2014-12-01,11.64
2014-12-02,12.07
2014-12-03,11.79
2014-12-04,13.12
2014-12-05,12.94
2014-12-06,12.4
2014-12-07,12.81
2014-12-08,13.12
2014-12-09,13.74
2014-12-10,13.52
2014-12-11,13.24
2014-12-12,12.96
2014-12-13,12.33
2014-12-14,11.44
2014-12-15,12.37
2014-12-16,12.57
2014-12-17,12.2
2014-12-18,12.35
2014-12-19,12.33
2014-12-20,13.3
2014-12-21,13.16
2014-12-22,13.34
2014-12-23,13.24
2014-12-24,12.37
2014-12-25,12.21
2014-12-26,12.17
2014-12-27,12.36
2014-12-28,11.93
2014-12-29,11.6
2014-12-30,7.83
2014-12-31,6.37
2015-01-01,9.05
2015-01-02,10.58
2015-01-03,11.35
2015-01-04,11.92
2015-01-05,11.8
2015-01-06,11.49
2015-01-07,11.77
2015-01-08,11.44
2015-01-09,11.45
2015-01-10,11.74
2015-01-11,11.69
2015-01-12,12.08
2015-01-13,11.95
2015-01-14,11.62
2015-01-15,11.83
2015-01-16,12.36
2015-01-17,12.75
2015-01-18,12.46
2015-01-19,11.75
2015-01-20,11.12
2015-01-21,10.59
2015-01-22,11.05
2015-01-23,11.93
2015-01-24,12.12
2015-01-25,12.71
2015-01-26,12.69
2015-01-27,12.69
2015-01-28,13.36
2015-01-29,13
2015-01-30,12.52
2015-01-31,12.41
2015-02-01,12.22
2015-02-02,12.27
2015-02-03,11.89
2015-02-04,12.21
2015-02-05,12.79
2015-02-06,12.64
2015-02-07,12.43
2015-02-08,12.44
2015-02-09,12.21
2015-02-10,12.14
2015-02-11,12.35
2015-02-12,12.32
2015-02-13,12.75
2015-02-14,12.93
2015-02-15,13.45
2015-02-16,13.31
2015-02-17,11.55
2015-02-18,11.9
2015-02-19,11.61
2015-02-20,11.17
2015-02-21,10.64
2015-02-22,9.71
2015-02-23,10.82
2015-02-24,12.08
2015-02-25,13.02
2015-02-26,11.91
2015-02-27,12.17
2015-02-28,12.16
2015-03-01,11.28
2015-03-02,11.28
2015-03-03,10.49
2015-03-04,9.58
2015-03-05,10.32
2015-03-06,11.09
2015-03-07,10.98
2015-03-08,11.37
2015-03-09,11.34
2015-03-10,11.13
2015-03-11,11.78
2015-03-12,13.56
2015-03-13,12.61
2015-03-14,12.44
2015-03-15,12.04
2015-03-16,12.85
2015-03-17,12.19
2015-03-18,12.57
2015-03-19,12.27
2015-03-20,11.83
2015-03-21,11.82
2015-03-22,11.54
2015-03-23,11.69
2015-03-24,12.33
2015-03-25,12.91
2015-03-26,13.82
2015-03-27,12.92
2015-03-28,13.62
2015-03-29,13.54
2015-03-30,13.09
2015-03-31,12.93
2015-04-01,12.41
2015-04-02,12.28
2015-04-03,11.4
2015-04-04,11.8
2015-04-05,11.31
2015-04-06,11.27
2015-04-07,11.57
2015-04-08,12.15
2015-04-09,13.66
2015-04-10,12.89
2015-04-11,12.89
2015-04-12,12.96
2015-04-13,11.92
2015-04-14,12.47
2015-04-15,12.16
2015-04-16,11.71
2015-04-17,12.06
2015-04-18,11.05
2015-04-19,10.57
2015-04-20,10.03
2015-04-21,10.06
2015-04-22,10.26
2015-04-23,9.82
2015-04-24,10.01
2015-04-25,12.33
2015-04-26,11.14
2015-04-27,13.07
2015-04-28,12.49
2015-04-29,11.97
2015-04-30,11.76
2015-05-01,11.12
2015-05-02,10.38
2015-05-03,10.04
2015-05-04,10.31
2015-05-05,11.26
2015-05-06,12.48
2015-05-07,11.2
2015-05-08,11.73
2015-05-09,11.06
2015-05-10,12.17
2015-05-11,11.76
2015-05-12,9.97
2015-05-13,11.46
2015-05-14,11.54
2015-05-15,10.34
2015-05-16,11.56
2015-05-17,10.77
2015-05-18,10.71
2015-05-19,10.54
2015-05-20,10.39
2015-05-21,10.68
2015-05-22,10.85
2015-05-23,12.19
2015-05-24,11.75
2015-05-25,11.78
2015-05-26,11.43
2015-05-27,10.2
2015-05-28,9.75
2015-05-29,9.62
2015-05-30,10.05
2015-05-31,10.6
2015-06-01,11.18
2015-06-02,12.27
2015-06-03,12.76
2015-06-04,12.68
2015-06-05,11.79
2015-06-06,11.21
2015-06-07,11.96
2015-06-08,10.74
2015-06-09,11.07
2015-06-10,11.25
2015-06-11,11.38
2015-06-12,10.48
2015-06-13,9.78
2015-06-14,9.4
2015-06-15,9.41
2015-06-16,10.55
2015-06-17,11.54
2015-06-18,12.86
2015-06-19,13.76
2015-06-20,11.78
2015-06-21,11.77
2015-06-22,13.22
2015-06-23,13.35
2015-06-24,13.14
2015-06-25,12.25
2015-06-26,10.64
2015-06-27,10.29
2015-06-28,11.06
2015-06-29,13.12
2015-06-30,12.88
2015-07-01,11.2
2015-07-02,11.14
2015-07-03,11.76
2015-07-04,12.32
2015-07-05,12.47
2015-07-06,14.69
2015-07-07,15.73
2015-07-08,15.14
2015-07-09,13.47
2015-07-10,14.7
2015-07-11,14.7
2015-07-12,16.07
2015-07-13,15.76
2015-07-14,14.82
2015-07-15,14.54
2015-07-16,13.89
2015-07-17,13.48
2015-07-18,12.82
2015-07-19,13.71
2015-07-20,15.75
2015-07-21,16.03
2015-07-22,14.86
2015-07-23,15.4
2015-07-24,15.63
2015-07-25,15.65
2015-07-26,14.84
2015-07-27,15.35
2015-07-28,13.56
2015-07-29,12.27
2015-07-30,11.95
2015-07-31,11.85
2015-08-01,11.36
2015-08-02,11.07
2015-08-03,12.17
2015-08-04,12.43
2015-08-05,13.45
2015-08-06,13.82
2015-08-07,12.4
2015-08-08,13.19
2015-08-09,14.05
2015-08-10,14.73
2015-08-11,15.34
2015-08-12,17.22
